_id,repo_full_name,sha,html_url,author_login,author_id,author_type,authored_date,committer_login,committed_date,message,additions,deletions,total_changes,files_changed_count,parent_shas,repo_name
6824cd8e0ce5dcec7842e7d9,apache/superset,73701b729563d796d4aae628eff24f7163e7671c,https://github.com/apache/superset/commit/73701b729563d796d4aae628eff24f7163e7671c,irodriguez-nebustream,81891746,User,2025-05-09T22:25:40+00:00,web-flow,2025-05-09T22:25:40+00:00,fix(embedded): handle SUPERSET_APP_ROOT in embedded dashboard URLs (#33356)\n\nCo-authored-by: Irving Rodriguez <irodriguez@Mac.lan>,3,2,5,1,22475e787e3e8a9c9cfcaf82eebce75ff9e63151,apache_superset
6824cd8e0ce5dcec7842e7da,apache/superset,22475e787e3e8a9c9cfcaf82eebce75ff9e63151,https://github.com/apache/superset/commit/22475e787e3e8a9c9cfcaf82eebce75ff9e63151,amaannawab923,206851456,User,2025-05-09T17:27:31+00:00,web-flow,2025-05-09T17:27:31+00:00,"feat(Table Chart): Row limit Increase , Backend Sorting , Backend Search , Excel/CSV Improvements (#33357)\n\nCo-authored-by: Amaan Nawab <nelsondrew07@gmail.com>",935,78,1013,23,9e38a0cc29e4026c361f8891e9e3d2d1096c5c9f,apache_superset
6824cd8f0ce5dcec7842ff26,keras-team/keras,cbb3682cab33ae3f97e1a3b7da3e6cbeae07b83b,https://github.com/keras-team/keras/commit/cbb3682cab33ae3f97e1a3b7da3e6cbeae07b83b,cantonios,2538739,User,2025-05-08T20:27:05+00:00,web-flow,2025-05-08T20:27:05+00:00,"Allow variable layout to be set on construction. (#21264)\n\nIf a variable has a particular layout (e.g. is sharded across\nmultiple devices/hosts), then any corresponding auxiliary variables,\nlike optimizer gradient accumulators, need to have the same layout.\nThis requires use to set the variable layout prior to initialization\nso that it is initialized correctly and efficiently across devices.\n\nAdded optional `kwargs` to the base `Variable` class so they can\nhandle (and ignore) any backend-specific options.  Modified\n`JaxVariable` to allow setting the layout parameter on construction.\nModified `add_variable_from_reference` to copy the layout from\nthe reference variable.",22,5,27,3,583306d25b632fad608d625723d9d7426698daa0,keras-team_keras
6824cd8f0ce5dcec7842ff27,keras-team/keras,583306d25b632fad608d625723d9d7426698daa0,https://github.com/keras-team/keras/commit/583306d25b632fad608d625723d9d7426698daa0,cantonios,2538739,User,2025-05-08T20:26:21+00:00,web-flow,2025-05-08T20:26:21+00:00,Add support for jax.experimental.layout layouts. (#21263)\n\nIn some cases we need to explicitly specify the layout in JAX\n(e.g. for sparse-core tables).  The previous distribution lib\nwas hard-coded to expect `jax.sharding.Sharding`.  Generalized\nto support explicit Layouts.\n\nThe previous `distribute_variable`/`distribute_tensor` code\nalso used explicit device placement calls.  JAX should be\nable to handle all this automatically.  See [Making process-spanning arrays from external data](https://docs.jax.dev/en/latest/multi_process.html#making-process-spanning-arrays-from-external-data).,103,107,210,2,44c2f831daed1a2f3413c8886e105f9ad8fcc9d4,keras-team_keras
6824cd900ce5dcec784305cc,microsoft/ML-For-Beginners,09b03ccb52eb73842fd01a3f93a30f2905410bfa,https://github.com/microsoft/ML-For-Beginners/commit/09b03ccb52eb73842fd01a3f93a30f2905410bfa,BethanyJep,44121227,User,2025-02-14T08:01:49+00:00,web-flow,2025-02-14T08:01:49+00:00,Merge pull request #789 from BethanyJep/translations\n\nImage Translations,40284,0,40284,2354,"90f5aee98a28a5e0f7d4e4fde9af5ce6793ae936,81ff2e6d13c3eee24a56eba28e1716b8274a08a0",microsoft_ML-For-Beginners
6824cd900ce5dcec784305cd,microsoft/ML-For-Beginners,81ff2e6d13c3eee24a56eba28e1716b8274a08a0,https://github.com/microsoft/ML-For-Beginners/commit/81ff2e6d13c3eee24a56eba28e1716b8274a08a0,BethanyJep,44121227,User,2025-02-14T06:08:45+00:00,web-flow,2025-02-14T06:08:45+00:00,Merge branch 'microsoft:main' into translations,12,8,20,1,"9fc2b847b8d4a77242cbb6a432c9fd29e4d61e67,90f5aee98a28a5e0f7d4e4fde9af5ce6793ae936",microsoft_ML-For-Beginners
6824cd900ce5dcec784305ce,microsoft/ML-For-Beginners,9fc2b847b8d4a77242cbb6a432c9fd29e4d61e67,https://github.com/microsoft/ML-For-Beginners/commit/9fc2b847b8d4a77242cbb6a432c9fd29e4d61e67,BethanyJep,44121227,User,2025-02-13T19:55:17+00:00,BethanyJep,2025-02-13T19:55:17+00:00,updated image translation for the various languages,40284,0,40284,2354,9e189e28e21b1fccca193ad24f342aaa761c1bf7,microsoft_ML-For-Beginners
6824cd900ce5dcec784305cf,microsoft/ML-For-Beginners,90f5aee98a28a5e0f7d4e4fde9af5ce6793ae936,https://github.com/microsoft/ML-For-Beginners/commit/90f5aee98a28a5e0f7d4e4fde9af5ce6793ae936,WirelessLife,17089114,User,2025-02-13T17:09:42+00:00,web-flow,2025-02-13T17:09:42+00:00,Merge pull request #788 from microsoft/WirelessLife-patch-2\n\nUpdate README.md - Updating Other Courses with new courses.,1,0,1,1,"8a6ce4ec4ad22a7e86664ae7e27f93bdd8223e2d,6c3c6218c4b7a39e78f8922f6321c0d950db2cd6",microsoft_ML-For-Beginners
6824cd900ce5dcec784305d0,microsoft/ML-For-Beginners,6c3c6218c4b7a39e78f8922f6321c0d950db2cd6,https://github.com/microsoft/ML-For-Beginners/commit/6c3c6218c4b7a39e78f8922f6321c0d950db2cd6,WirelessLife,17089114,User,2025-02-13T17:09:02+00:00,web-flow,2025-02-13T17:09:02+00:00,Update README.md\n\nUpdating Other Courses,1,0,1,1,8a6ce4ec4ad22a7e86664ae7e27f93bdd8223e2d,microsoft_ML-For-Beginners
6824cd900ce5dcec784305d1,microsoft/ML-For-Beginners,8a6ce4ec4ad22a7e86664ae7e27f93bdd8223e2d,https://github.com/microsoft/ML-For-Beginners/commit/8a6ce4ec4ad22a7e86664ae7e27f93bdd8223e2d,WirelessLife,17089114,User,2025-02-13T16:49:32+00:00,web-flow,2025-02-13T16:49:32+00:00,"Update README.md\n\nUpdating ""Other Courses"" with new courses.",11,8,19,1,009fdcdfb047041a15190b7642d036afa804f160,microsoft_ML-For-Beginners
6824cd900ce5dcec784305d2,microsoft/ML-For-Beginners,009fdcdfb047041a15190b7642d036afa804f160,https://github.com/microsoft/ML-For-Beginners/commit/009fdcdfb047041a15190b7642d036afa804f160,BethanyJep,44121227,User,2025-02-06T16:55:23+00:00,web-flow,2025-02-06T16:55:23+00:00,Merge pull request #787 from BethanyJep/translations\n\nUpdated Translations,72080,0,72080,2554,"24161007bffdd618a775426acee3940c1af6529d,9e189e28e21b1fccca193ad24f342aaa761c1bf7",microsoft_ML-For-Beginners
6824cd900ce5dcec784305d3,microsoft/ML-For-Beginners,9e189e28e21b1fccca193ad24f342aaa761c1bf7,https://github.com/microsoft/ML-For-Beginners/commit/9e189e28e21b1fccca193ad24f342aaa761c1bf7,BethanyJep,44121227,User,2025-02-04T07:40:36+00:00,BethanyJep,2025-02-04T07:40:36+00:00,"updated translations for ko, es, it, ja, sw, hi, tr and zh using co-op translator",72080,0,72080,2554,24161007bffdd618a775426acee3940c1af6529d,microsoft_ML-For-Beginners
6824cd900ce5dcec784305d4,microsoft/ML-For-Beginners,24161007bffdd618a775426acee3940c1af6529d,https://github.com/microsoft/ML-For-Beginners/commit/24161007bffdd618a775426acee3940c1af6529d,BethanyJep,44121227,User,2025-01-30T08:55:43+00:00,web-flow,2025-01-30T08:55:43+00:00,Merge pull request #779 from aneelkkhatri/main\n\nFix typo in README.md,1,1,2,1,"be214ab3c21fbf0259b9ada7662174843b688dd7,1313e74faf94fa3b65c2eebe4f4c6fc4f40a9a4b",microsoft_ML-For-Beginners
6824cd900ce5dcec784305d5,microsoft/ML-For-Beginners,1313e74faf94fa3b65c2eebe4f4c6fc4f40a9a4b,https://github.com/microsoft/ML-For-Beginners/commit/1313e74faf94fa3b65c2eebe4f4c6fc4f40a9a4b,aneelkkhatri,4344457,User,2024-12-19T03:45:53+00:00,web-flow,2024-12-19T03:45:53+00:00,Fix typo in README.md,1,1,2,1,be214ab3c21fbf0259b9ada7662174843b688dd7,microsoft_ML-For-Beginners
6824cd910ce5dcec784316e2,scikit-learn/scikit-learn,aa21650bcfbebeb4dd346307931dd1ed14a6f434,https://github.com/scikit-learn/scikit-learn/commit/aa21650bcfbebeb4dd346307931dd1ed14a6f434,lucyleeow,23182829,User,2025-05-09T19:42:14+00:00,web-flow,2025-05-09T19:42:14+00:00,DOC Remove old section `_fit_and_score_over_thresholds` (#31339),2,7,9,1,fec2fe6d9081d205a3b964d1e2cef164f5abdc85,scikit-learn_scikit-learn
6824cd910ce5dcec784316e3,scikit-learn/scikit-learn,fec2fe6d9081d205a3b964d1e2cef164f5abdc85,https://github.com/scikit-learn/scikit-learn/commit/fec2fe6d9081d205a3b964d1e2cef164f5abdc85,lesteve,1680079,User,2025-05-09T19:40:11+00:00,web-flow,2025-05-09T19:40:11+00:00,BLD Add missing cython generator for a few extensions (#31346),4,4,8,4,e70ae56ed75e3f51ff87d2538bdcc1c2525d13fd,scikit-learn_scikit-learn
