_id,repo_full_name,pr_id,comment_id,user_login,user_id,created_at,updated_at,body,is_review_comment,path,position,diff_hunk,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart,repo_name
6824cd8e0ce5dcec7842e331,academic/awesome-datascience,1607818538,1398798992,rasitds,12167194,2023-11-20T08:23:49+00:00,2023-11-20T08:24:14+00:00,```suggestion\r\n- [How Generative AI Is Changing Creative Work](https://hbr.org/2022/11/how-generative-ai-is-changing-creative-work)\r\n```,false,NaN,NaN,NaN,0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e332,academic/awesome-datascience,1607818538,1398799266,rasitds,12167194,2023-11-20T08:24:03+00:00,2023-11-20T08:24:14+00:00,```suggestion\r\n- [What is generative AI?](https://www.techtarget.com/searchenterpriseai/definition/generative-AI)\r\n```,false,NaN,NaN,NaN,0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e333,academic/awesome-datascience,1607818538,1398798992,rasitds,12167194,2023-11-20T08:23:49+00:00,2023-11-20T08:24:14+00:00,```suggestion\r\n- [How Generative AI Is Changing Creative Work](https://hbr.org/2022/11/how-generative-ai-is-changing-creative-work)\r\n```,true,README.md,NaN,"@@ -1100,6 +1100,8 @@ Some data mining competition platforms\n - [Awesome Drug Synergy, Interaction and Polypharmacy Prediction](https://github.com/AstraZeneca/awesome-drug-pair-scoring)\n - [Deep Learning Interview Questions](https://www.adaface.com/blog/deep-learning-interview-questions/)\n - [Top Future Trends in Data Science in 2023](https://medium.com/the-modern-scientist/top-future-trends-in-data-science-in-2023-3e616c8998b8)\n+- [How Generative AI Is Changing Creative Work] (https://hbr.org/2022/11/how-generative-ai-is-changing-creative-work)",0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e334,academic/awesome-datascience,1607818538,1398799266,rasitds,12167194,2023-11-20T08:24:03+00:00,2023-11-20T08:24:14+00:00,```suggestion\r\n- [What is generative AI?](https://www.techtarget.com/searchenterpriseai/definition/generative-AI)\r\n```,true,README.md,NaN,"@@ -1100,6 +1100,8 @@ Some data mining competition platforms\n - [Awesome Drug Synergy, Interaction and Polypharmacy Prediction](https://github.com/AstraZeneca/awesome-drug-pair-scoring)\n - [Deep Learning Interview Questions](https://www.adaface.com/blog/deep-learning-interview-questions/)\n - [Top Future Trends in Data Science in 2023](https://medium.com/the-modern-scientist/top-future-trends-in-data-science-in-2023-3e616c8998b8)\n+- [How Generative AI Is Changing Creative Work] (https://hbr.org/2022/11/how-generative-ai-is-changing-creative-work)\n+- [What is generative AI?] (https://www.techtarget.com/searchenterpriseai/definition/generative-AI)",0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e335,academic/awesome-datascience,1537693201,1342467277,hmert,182906,2023-10-02T09:28:29+00:00,2023-10-02T09:28:33+00:00,please remove your referral code.,false,NaN,NaN,NaN,0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e336,academic/awesome-datascience,1537693201,1342470732,akhil-maker,58397226,2023-10-02T09:32:01+00:00,2023-10-02T09:32:02+00:00,"Sorry for mistake, the new link has been added",false,NaN,NaN,NaN,0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e337,academic/awesome-datascience,1537693201,1342467277,hmert,182906,2023-10-02T09:28:29+00:00,2023-10-02T09:28:33+00:00,please remove your referral code.,true,README.md,NaN,"@@ -625,7 +625,7 @@ This section includes some additional reading material, channels to watch, and t\n - [Software Engineering for Data Scientists](https://www.manning.com/books/software-engineering-for-data-scientists) - Early access\n - [Julia for Data Science](https://www.manning.com/books/julia-for-data-science) - Early access\n - [An Introduction to Statistical Learning](https://www.statlearning.com/) - Download Page\n-\n+- [Machine Learning For Absolute Beginners](https://amzn.eu/d/9RkOcRF)",0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e338,academic/awesome-datascience,1537693201,1342470732,akhil-maker,58397226,2023-10-02T09:32:01+00:00,2023-10-02T09:32:02+00:00,"Sorry for mistake, the new link has been added",true,README.md,NaN,"@@ -625,7 +625,7 @@ This section includes some additional reading material, channels to watch, and t\n - [Software Engineering for Data Scientists](https://www.manning.com/books/software-engineering-for-data-scientists) - Early access\n - [Julia for Data Science](https://www.manning.com/books/julia-for-data-science) - Early access\n - [An Introduction to Statistical Learning](https://www.statlearning.com/) - Download Page\n-\n+- [Machine Learning For Absolute Beginners](https://amzn.eu/d/9RkOcRF)",0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e339,academic/awesome-datascience,190734394,191044800,hmert,182906,2018-05-26T09:51:31+00:00,2018-05-26T09:51:41+00:00,Gregory Piatetsky is not a duplicate/suspended account ?,false,NaN,NaN,NaN,0,0,0,0,0,0,0,academic_awesome-datascience
6824cd8e0ce5dcec7842e33a,academic/awesome-datascience,190734394,191044800,hmert,182906,2018-05-26T09:51:31+00:00,2018-05-26T09:51:41+00:00,Gregory Piatetsky is not a duplicate/suspended account ?,true,README.md,4,"@@ -321,7 +321,6 @@ We are more than 3,190 data scientists and data geeks in our community.\n - [Erin Bartolo](https://twitter.com/erinbartolo) - Running with #BigData--enjoying a love/hate relationship with its hype. @iSchoolSU #DataScience Program Mgr.\n - [Greg Reda](https://twitter.com/gjreda) Working @ _GrubHub_ about data and pandas\n - [Gregory Piatetsky](https://twitter.com/kdnuggets) -  KDnuggets President, Analytics/Big Data/Data Mining/Data Science expert, KDD & SIGKDD co-founder, was Chief Scientist at 2 startups, part-time philosopher.\n-- [Gregory Piatetsky](https://twitter.com/kdnuggets) - KDnuggets President, Analytics/Big Data/Data Mining/Data Science expert, KDD & SIGKDD co-founder, was Chief Scientist at 2 startups, part-time philosopher.",0,0,0,0,0,0,0,academic_awesome-datascience
