repo_full_name,issue_id,number,title,body,user_login,user_id,state,locked,comments_count,created_at,updated_at,closed_at,labels,reactions_total,reactions_plus1,reactions_minus1,reactions_laugh,reactions_hooray,reactions_confused,reactions_heart
visenger/awesome-mlops,2983801645,128,Added new Fiddler AI blogs,"Added new Fiddler AI blogs on ML Ops

darshan@fiddler.ai",Darshnadvani,192152875,open,False,0,2025-04-09T20:05:30+00:00,2025-04-09T20:05:30+00:00,,,0,0,0,0,0,0,0
visenger/awesome-mlops,2877556157,127,Added Simplismart,"# What is this tool for?
Simplismart is an MLOps platform that enables enterprises to fine-tune, deploy, and optimize GenAI models across the NVIDIA chipset. It ensures seamless model deployment by providing a model-agnostic, cloud-agnostic infrastructure that enhances performance, cost efficiency, and observability while maintaining enterprise control over data privacy and customization.

# What's the difference between this tool and similar ones?
Unlike hyperscalers that enforce platform dependence, Simplismart provides a flexible and efficient inference layer that enterprises can integrate into their existing workflows. It offers performance benefits comparable to proprietary solutions but with greater transparency, cost efficiency, and adaptability.

## Enumerate comparisons.

[Baseten](https://www.baseten.co/)
[Anyscale](https://www.anyscale.com/)
[Together AI](https://www.together.ai/)",dakshisdakshs,158471641,open,False,0,2025-02-25T08:29:58+00:00,2025-02-25T08:29:58+00:00,,,0,0,0,0,0,0,0
visenger/awesome-mlops,2657105584,126,Adding Dynamic DevOps Roadmap,"Hi @visenger :wave: 

Thanks for this awesome list 🙌

At the beginning of 2024, I started a FREE DevOps roadmap called [Dynamic DevOps Roadmap](https://devopsroadmap.io/). This roadmap takes a different approach, following the MVP style (non-linear and progressive where each module builds on the previous one).

The roadmap includes an introduction, 6 modules, a progressive project (part of each module), a capstone project, interview questions, and even the next steps in DevOps domain (SRE, Platform, Cloud) and DevOps-like domain (e.g., MLOps, AIOps, DataOps, etc.).

I believe it's a good resource to be added to the MLOps list.

Should I create a PR for it?

Best",aabouzaid,6760103,open,False,3,2024-11-13T23:29:33+00:00,2025-01-05T03:59:52+00:00,,,1,1,0,0,0,0,0
visenger/awesome-mlops,2342910267,125,Added one useful resource,"Added the MLOps Roadmap: A Complete MLOps Career Guide to the section - MLOps Articles, providing useful insights to the MLOps aspirants.

Please let me know if further changes are required.

Thank you",Paras-96,169983983,open,False,1,2024-06-10T05:47:44+00:00,2024-06-10T06:04:48+00:00,,,0,0,0,0,0,0,0
visenger/awesome-mlops,2288061274,124,Add DLAI free course,"Add DeepLearning.AI free short course, Prompt Engineering for Vision Models",anmorgan24,86856445,open,False,0,2024-05-09T16:39:24+00:00,2024-05-09T16:39:24+00:00,,,0,0,0,0,0,0,0
visenger/awesome-mlops,2284017334,123,Update README.md,"Added DataKitchen Open Source Data Observability (Apache 2.0, release April 2024)",cbergh,5359337,open,False,0,2024-05-07T18:56:07+00:00,2024-05-07T18:56:07+00:00,,,0,0,0,0,0,0,0
visenger/awesome-mlops,2257349198,122,Add Udacity LLMOps course,"Added free Udacity LLMOps course 

Signed-off-by: Abby Morgan abigailm@comet.com",anmorgan24,86856445,closed,False,0,2024-04-22T19:53:59+00:00,2024-04-23T20:28:58+00:00,2024-04-23T20:28:58+00:00,,0,0,0,0,0,0,0
visenger/awesome-mlops,2181464212,121,Soon to update another MLOps link,,prvnmali2017,25573531,open,False,0,2024-03-12T12:10:56+00:00,2024-03-12T12:10:56+00:00,,,0,0,0,0,0,0,0
visenger/awesome-mlops,2102027156,120,Click to expand!,"<details>
<summary>Click to expand!</summary>
These make it difficult to read the content.
</details>",gardner,787026,open,False,0,2024-01-26T11:01:24+00:00,2024-01-26T11:01:24+00:00,,,0,0,0,0,0,0,0
visenger/awesome-mlops,2087666348,119,Added MLOps books published for 2023.,"Hello,

Ive updated the list of books to include the previous year (2023), if there's any more editions please add. 

Thanks for the awesome list.",mlopsnews,96395333,closed,False,1,2024-01-18T07:15:07+00:00,2024-03-12T13:28:51+00:00,2024-03-12T13:28:25+00:00,,0,0,0,0,0,0,0
